% Model:              3DSLM_TI_Por0.4_Abs0.5_ETcomparison.mph
% Version:            COMSOL 5.2.0.220
% Date:               Nov 10 2019, 16:38
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% T                       Height
300                       150.7208
301.1011011011011         150.8130018018018
302.2022022022022         150.9052036036036
303.3033033033033         150.9974054054054
304.40440440440443        151.0896072072072
305.5055055055055         151.18180900900902
306.6066066066066         151.2740108108108
307.7077077077077         151.3662126126126
308.8088088088088         151.45841441441442
309.9099099099099         151.5506162162162
311.011011011011          151.642818018018
312.11211211211213        151.73501981981983
313.21321321321324        151.82722162162162
314.3143143143143         151.9194234234234
315.4154154154154         152.01162522522523
316.5165165165165         152.10382702702702
317.6176176176176         152.19602882882882
318.7187187187187         152.28823063063064
319.8198198198198         152.38043243243243
320.92092092092093        152.47263423423422
322.02202202202204        152.56483603603604
323.12312312312315        152.65703783783783
324.2242242242242         152.74923963963963
325.3253253253253         152.84144144144145
326.4264264264264         152.93364324324324
327.5275275275275         153.02584504504503
328.62862862862863        153.11804684684685
329.72972972972974        153.21024864864864
330.83083083083085        153.30245045045044
331.93193193193196        153.39465225225226
333.033033033033          153.48685405405405
334.1341341341341         153.57905585585584
335.2352352352352         153.67125765765766
336.33633633633633        153.76345945945945
337.43743743743744        153.85566126126125
338.53853853853855        153.94786306306307
339.63963963963965        154.04006486486486
340.74074074074076        154.13226666666665
341.84184184184187        154.22446846846847
342.9429429429429         154.31667027027027
344.044044044044          154.40887207207206
345.14514514514514        154.50107387387388
346.24624624624624        154.59327567567567
347.34734734734735        154.68547747747746
348.44844844844846        154.77767927927928
349.54954954954957        154.86988108108108
350.6506506506507         154.9620828828829
351.7517517517517         155.0542846846847
352.85285285285283        155.14648648648648
353.95395395395394        155.23868828828827
355.05505505505505        155.3308900900901
356.15615615615616        155.4230918918919
357.25725725725727        155.51529369369368
358.3583583583584         155.6074954954955
359.4594594594595         155.6996972972973
360.5605605605606         155.7918990990991
361.66166166166164        155.8841009009009
362.76276276276275        155.9763027027027
363.86386386386386        156.0685045045045
364.96496496496496        156.1607063063063
366.06606606606607        156.2529081081081
367.1671671671672         156.34510990990992
368.2682682682683         156.43731171171171
369.36936936936934        156.5295135135135
370.47047047047045        156.6217153153153
371.57157157157155        156.71391711711712
372.67267267267266        156.8061189189189
373.77377377377377        156.8983207207207
374.8748748748749         156.99052252252253
375.975975975976          157.08272432432432
377.0770770770771         157.17492612612614
378.1781781781782         157.26712792792793
379.2792792792793         157.35932972972972
380.3803803803804         157.45153153153154
381.48148148148147        157.54373333333334
382.5825825825826         157.63593513513513
383.6836836836837         157.72813693693695
384.7847847847848         157.82033873873874
385.8858858858859         157.91254054054053
386.986986986987          158.00474234234235
388.08808808808806        158.09694414414415
389.18918918918916        158.18914594594594
390.2902902902903         158.28134774774776
391.3913913913914         158.37354954954955
392.4924924924925         158.46575135135134
393.5935935935936         158.55795315315316
394.6946946946947         158.65015495495496
395.7957957957958         158.74235675675675
396.8968968968969         158.83455855855857
397.997997997998          158.92676036036036
399.0990990990991         159.01896216216215
400.2002002002002         159.11116396396397
401.3013013013013         159.20336576576577
402.4024024024024         159.29556756756756
403.5035035035035         159.38776936936938
404.6046046046046         159.47997117117117
405.7057057057057         159.57217297297296
406.8068068068068         159.66437477477479
407.9079079079079         159.75657657657658
409.009009009009          159.84877837837837
410.1101101101101         159.9409801801802
411.2112112112112         160.03318198198198
412.3123123123123         160.12538378378378
413.4134134134134         160.2175855855856
414.51451451451453        160.3097873873874
415.61561561561564        160.40198918918918
416.71671671671675        160.494190990991
417.8178178178178         160.5863927927928
418.9189189189189         160.67859459459459
420.02002002002           160.7707963963964
421.1211211211211         160.8629981981982
422.22222222222223        160.9552
423.32332332332334        161.0474018018018
424.42442442442444        161.1396036036036
425.5255255255255         161.2318054054054
426.6266266266266         161.32400720720722
427.7277277277277         161.416209009009
428.8288288288288         161.5084108108108
429.9299299299299         161.60061261261262
431.03103103103103        161.6928144144144
432.13213213213214        161.7850162162162
433.23323323323325        161.87721801801803
434.33433433433436        161.96941981981982
435.43543543543547        162.0616216216216
436.5365365365366         162.15382342342343
437.6376376376376         162.24602522522522
438.73873873873873        162.33822702702702
439.83983983983984        162.43042882882884
440.94094094094095        162.52263063063063
442.04204204204206        162.61483243243242
443.1431431431431         162.70703423423424
444.2442442442442         162.79923603603604
445.3453453453453         162.89143783783783
446.44644644644643        162.98363963963965
447.54754754754754        163.07584144144144
448.64864864864865        163.16804324324323
449.74974974974975        163.26024504504505
450.85085085085086        163.35244684684685
451.95195195195197        163.44464864864864
453.0530530530531         163.53685045045046
454.1541541541542         163.62905225225225
455.2552552552553         163.72125405405404
456.35635635635634        163.81345585585586
457.45745745745745        163.90565765765766
458.55855855855856        163.99785945945945
459.65965965965967        164.09006126126127
460.7607607607608         164.18226306306306
461.8618618618618         164.27446486486485
462.96296296296293        164.36666666666667
464.06406406406404        164.45886846846847
465.16516516516515        164.55107027027026
466.26626626626626        164.64327207207208
467.36736736736736        164.73547387387387
468.4684684684685         164.82767567567566
469.5695695695696         164.91987747747748
470.6706706706707         165.01207927927928
471.7717717717718         165.10428108108107
472.8728728728729         165.1964828828829
473.973973973974          165.28868468468468
475.07507507507506        165.38088648648647
476.17617617617617        165.4730882882883
477.2772772772773         165.5652900900901
478.3783783783784         165.65749189189188
479.47947947947944        165.7496936936937
480.58058058058054        165.8418954954955
481.68168168168165        165.93409729729728
482.78278278278276        166.0262990990991
483.88388388388387        166.1185009009009
484.984984984985          166.2107027027027
486.0860860860861         166.3029045045045
487.1871871871872         166.3951063063063
488.2882882882883         166.4873081081081
489.3893893893894         166.57950990990992
490.4904904904905         166.6717117117117
491.5915915915916         166.7639135135135
492.69269269269273        166.85611531531532
493.7937937937938         166.9483171171171
494.8948948948949         167.0405189189189
495.995995995996          167.13272072072073
497.0970970970971         167.22492252252252
498.19819819819816        167.3171243243243
499.29929929929926        167.40932612612613
500.4004004004004         167.50152792792792
501.5015015015015         167.59372972972972
502.6026026026026         167.68593153153154
503.7037037037037         167.77813333333333
504.8048048048048         167.87033513513512
505.9059059059059         167.96253693693694
507.007007007007          168.05473873873873
508.1081081081081         168.14694054054053
509.20920920920923        168.23914234234235
510.31031031031034        168.33134414414414
511.41141141141145        168.42354594594593
512.5125125125126         168.51574774774775
513.6136136136136         168.60794954954955
514.7147147147148         168.70015135135134
515.8158158158158         168.79235315315316
516.9169169169169         168.88455495495495
518.018018018018          168.97675675675674
519.1191191191191         169.06895855855856
520.2202202202202         169.16116036036036
521.3213213213213         169.25336216216215
522.4224224224224         169.34556396396397
523.5235235235235         169.43776576576576
524.6246246246246         169.52996756756755
525.7257257257257         169.62216936936937
526.8268268268268         169.71437117117117
527.927927927928          169.80657297297296
529.0290290290291         169.89877477477478
530.1301301301302         169.99097657657657
531.2312312312313         170.08317837837836
532.3323323323323         170.17538018018018
533.4334334334335         170.26758198198198
534.5345345345345         170.35978378378377
535.6356356356356         170.4519855855856
536.7367367367367         170.54418738738738
537.8378378378378         170.63638918918917
538.9389389389389         170.728590990991
540.04004004004           170.8207927927928
541.1411411411411         170.91299459459458
542.2422422422422         171.0051963963964
543.3433433433433         171.0973981981982
544.4444444444445         171.18959999999998
545.5455455455456         171.2818018018018
546.6466466466467         171.3740036036036
547.7477477477478         171.4662054054054
548.8488488488489         171.5584072072072
549.94994994995           171.650609009009
551.051051051051          171.7428108108108
552.1521521521522         171.83501261261262
553.2532532532532         171.9272144144144
554.3543543543543         172.0194162162162
555.4554554554554         172.11161801801802
556.5565565565565         172.2038198198198
557.6576576576576         172.2960216216216
558.7587587587587         172.38822342342343
559.8598598598599         172.48042522522522
560.960960960961          172.572627027027
562.0620620620621         172.66482882882883
563.1631631631632         172.75703063063062
564.2642642642643         172.84923243243242
565.3653653653654         172.94143423423424
566.4664664664665         173.03363603603603
567.5675675675675         173.12583783783782
568.6686686686687         173.21803963963964
569.7697697697697         173.31024144144143
570.8708708708709         173.40244324324325
571.9719719719719         173.49464504504505
573.0730730730731         173.58684684684687
574.1741741741741         173.67904864864863
575.2752752752752         173.77125045045045
576.3763763763764         173.86345225225224
577.4774774774775         173.95565405405404
578.5785785785786         174.04785585585586
579.6796796796797         174.14005765765765
580.7807807807808         174.23225945945944
581.8818818818819         174.32446126126126
582.982982982983          174.41666306306306
584.0840840840841         174.50886486486485
585.1851851851852         174.60106666666667
586.2862862862862         174.69326846846846
587.3873873873874         174.78547027027028
588.4884884884884         174.87767207207207
589.5895895895897         174.96987387387387
590.6906906906906         175.06207567567566
591.7917917917919         175.15427747747748
592.8928928928929         175.24647927927927
593.993993993994          175.33868108108106
595.0950950950951         175.43088288288288
596.1961961961962         175.52308468468468
597.2972972972973         175.61528648648647
598.3983983983984         175.7074882882883
599.4994994994995         175.79969009009008
600.6006006006006         175.89189189189187
601.7017017017017         175.9840936936937
602.8028028028028         176.0762954954955
603.9039039039039         176.1684972972973
605.0050050050049         176.2606990990991
606.1061061061062         176.3529009009009
607.2072072072071         176.44510270270268
608.3083083083084         176.5373045045045
609.4094094094094         176.6295063063063
610.5105105105106         176.72170810810812
611.6116116116116         176.8139099099099
612.7127127127127         176.9061117117117
613.8138138138138         176.9983135135135
614.9149149149149         177.09051531531532
616.016016016016          177.1827171171171
617.1171171171171         177.2749189189189
618.2182182182182         177.36712072072072
619.3193193193193         177.4593225225225
620.4204204204204         177.55152432432433
621.5215215215215         177.64372612612613
622.6226226226227         177.73592792792792
623.7237237237237         177.8281297297297
624.8248248248249         177.92033153153153
625.9259259259259         178.01253333333332
627.0270270270271         178.10473513513514
628.1281281281281         178.19693693693694
629.2292292292293         178.28913873873876
630.3303303303303         178.38134054054052
631.4314314314314         178.47354234234234
632.5325325325325         178.56574414414413
633.6336336336336         178.65794594594593
634.7347347347347         178.75014774774775
635.8358358358358         178.84234954954954
636.936936936937          178.93455135135136
638.038038038038          179.02675315315315
639.1391391391392         179.11895495495494
640.2402402402403         179.21115675675676
641.3413413413414         179.30335855855856
642.4424424424424         179.39556036036035
643.5435435435436         179.48776216216217
644.6446446446446         179.57996396396396
645.7457457457458         179.67216576576578
646.8468468468468         179.76436756756755
647.947947947948          179.85656936936937
649.049049049049          179.94877117117116
650.1501501501501         180.04097297297295
651.2512512512512         180.13317477477477
652.3523523523523         180.22537657657656
653.4534534534534         180.31757837837839
654.5545545545546         180.40978018018018
655.6556556556557         180.50198198198197
656.7567567567568         180.5941837837838
657.8578578578579         180.68638558558558
658.9589589589589         180.77858738738738
660.0600600600601         180.8707891891892
661.1611611611611         180.962990990991
662.2622622622623         181.0551927927928
663.3633633633633         181.14739459459457
664.4644644644645         181.2395963963964
665.5655655655655         181.3317981981982
666.6666666666667         181.424
667.7677677677677         181.5162018018018
668.8688688688688         181.6084036036036
669.96996996997           181.7006054054054
671.0710710710711         181.7928072072072
672.1721721721722         181.885009009009
673.2732732732733         181.97721081081082
674.3743743743744         182.0694126126126
675.4754754754755         182.16161441441443
676.5765765765766         182.25381621621622
677.6776776776776         182.34601801801801
678.7787787787788         182.43821981981984
679.8798798798798         182.5304216216216
680.980980980981          182.62262342342342
682.082082082082          182.7148252252252
683.1831831831832         182.80702702702703
684.2842842842842         182.89922882882883
685.3853853853855         182.99143063063065
686.4864864864865         183.08363243243244
687.5875875875876         183.17583423423423
688.6886886886887         183.26803603603602
689.7897897897898         183.36023783783784
690.8908908908909         183.45243963963964
691.991991991992          183.54464144144146
693.0930930930931         183.63684324324325
694.1941941941942         183.72904504504504
695.2952952952953         183.82124684684686
696.3963963963963         183.91344864864863
697.4974974974975         184.00565045045045
698.5985985985985         184.09785225225224
699.6996996996997         184.19005405405406
700.8008008008007         184.28225585585585
701.901901901902          184.37445765765767
703.003003003003          184.46665945945946
704.1041041041042         184.55886126126126
705.2052052052052         184.65106306306305
706.3063063063063         184.74326486486487
707.4074074074074         184.83546666666666
708.5085085085085         184.92766846846848
709.6096096096096         185.01987027027027
710.7107107107107         185.11207207207207
711.8118118118118         185.2042738738739
712.9129129129129         185.29647567567568
714.014014014014          185.38867747747747
715.115115115115          185.48087927927926
716.2162162162163         185.57308108108109
717.3173173173172         185.66528288288288
718.4184184184185         185.7574846846847
719.5195195195195         185.8496864864865
720.6206206206207         185.9418882882883
721.7217217217217         186.03409009009016
722.8228228228229         186.12629189189204
723.9239239239239         186.21849369369397
725.025025025025          186.31069549549605
726.1261261261261         186.40289729729838
727.2272272272272         186.49509909910117
728.3283283283283         186.58730090090486
729.4294294294294         186.67950270271024
730.5305305305305         186.77170450451877
731.6316316316316         186.8639063063332
732.7327327327328         186.95610810815842
733.8338338338338         187.04830991000347
734.934934934935          187.1405117118847
736.036036036036          187.23271351383133
737.1371371371372         187.32491531589582
738.2382382382382         187.41711711817098
739.3393393393394         187.50931892082056
740.4404404404404         187.60152072413138
741.5415415415416         187.69372252860273
742.6426426426426         187.78592433509797
743.7437437437437         187.87812614510082
744.8448448448448         187.97032796114448
745.9459459459459         188.06252978752616
747.047047047047          188.1547316314889
748.1481481481482         188.24693350516216
749.2492492492493         188.3391354287273
750.3503503503504         188.431337435546
751.4514514514515         188.52353958041124
752.5525525525525         188.61574195273124
753.6536536536537         188.70794469745033
754.7547547547547         188.80014804801596
755.8558558558559         188.89235237796814
756.9569569569569         188.98455828110394
758.0580580580581         189.0767666951723
759.1591591591591         189.16897909138683
760.2602602602603         189.261197762721
761.3613613613613         189.3534262593461
762.4624624624624         189.44567004159552
763.5635635635635         189.53793745205874
764.6646646646647         189.63024115226816
765.7657657657658         189.72260023050438
766.8668668668669         189.8150432714592
767.967967967968          189.90761279353268
769.0690690690691         190.00037161515158
770.1701701701702         190.09341191986763
771.2712712712712         190.18686806612655
772.3723723723724         190.28093454960188
773.4734734734734         190.37589099527307
774.5745745745746         190.47213665771483
775.6756756756756         190.570237669087
776.7767767767768         190.67099122508864
777.8778778778778         190.77551207070243
778.9789789789791         190.88534806992476
780.08008008008           191.00263334293936
781.1811811811812         191.13028944851567
782.2822822822823         191.27228738386893
783.3833833833834         191.43398575432747
784.4844844844845         191.62256328922388
785.5855855855856         191.8475668707971
786.6866866866867         192.12159927646562
787.7877877877878         192.46117373346087
788.8888888888889         192.88776490636957
789.9899899899899         193.42908776938998
791.0910910910911         194.1206365678013
792.1921921921921         195.00751528490093
793.2932932932933         196.14658817257856
794.3943943943943         197.6089733963919
795.4954954954956         199.48289408601406
796.5965965965966         201.87688847944926
797.6976976976978         204.92336387870176
798.7987987987988         208.78245739587416
799.8998998998999         213.6461397612454
801.001001001001          219.74246686690543
802.1021021021021         227.33984767146126
803.2032032032032         236.75115747457312
804.3043043043043         248.33748377443874
805.4054054054054         262.5112498900506
806.5065065065065         279.738421773181
807.6076076076076         300.5394690001431
808.7087087087086         325.4887253244455
809.8098098098098         355.21178120923
810.9109109109108         390.3805443784249
812.0120120120121         431.7056284170751
813.1131131131131         479.9257771411975
814.2142142142142         535.7941063615558
815.3153153153153         600.0610461156896
816.4164164164164         673.4539952362902
817.5175175175175         756.653854208108
818.6186186186186         850.2687775119607
819.7197197197197         954.805676744388
820.8208208208208         1070.6402022670804
821.9219219219219         1197.9861235774983
823.023023023023          1336.8652050657884
824.1241241241241         1487.078821459231
825.2252252252252         1648.182663005251
826.3263263263264         1819.4659319817633
827.4274274274275         1999.9364188248476
828.5285285285286         2188.3127600932894
829.6296296296297         2383.0250173196723
830.7307307307308         2582.2244755700585
831.8318318318318         2783.8032481833175
832.9329329329329         2985.4238997272255
834.034034034034          3184.5588776870586
835.1351351351351         3378.5390942069403
836.2362362362362         3564.539829565116
837.3373373373373         3728.2634124338565
838.4384384384384         3837.1658046790844
839.5395395395395         3868.1092380157834
840.6406406406406         3809.489523791298
841.7417417417417         3659.583309785805
842.8428428428429         3424.89533701279
843.943943943944          3118.5056965195186
845.0450450450451         2758.4170861875095
846.1461461461462         2365.9020675330094
847.2472472472473         1963.8503225074667
848.3483483483484         1575.115910298001
849.4494494494495         1220.8645241278846
850.5505505505505         918.9207480570335
851.6516516516516         682.115313782374
852.7527527527527         516.6323574384901
853.8538538538538         420.3566763979752
854.9549549549549         381.2209860719463
856.056056056056          375.55413117730495
857.1571571571571         375.55413117730495
858.2582582582583         375.55413117730495
859.3593593593594         375.55413117730495
860.4604604604605         375.55413117730495
861.5615615615616         375.55413117730495
862.6626626626627         375.55413117730495
863.7637637637638         375.55413117730495
864.8648648648649         375.55413117730495
865.965965965966          375.55413117730495
867.0670670670671         375.55413117730495
868.1681681681682         375.55413117730495
869.2692692692692         375.55413117730495
870.3703703703703         375.55413117730495
871.4714714714714         375.55413117730495
872.5725725725725         375.55413117730495
873.6736736736736         375.55413117730495
874.7747747747748         375.55413117730495
875.8758758758759         375.55413117730495
876.976976976977          375.55413117730495
878.0780780780781         375.55413117730495
879.1791791791792         375.55413117730495
880.2802802802803         375.55413117730495
881.3813813813814         375.55413117730495
882.4824824824825         375.55413117730495
883.5835835835836         375.55413117730495
884.6846846846847         375.55413117730495
885.7857857857858         375.55413117730495
886.8868868868869         375.55413117730495
887.9879879879879         375.55413117730495
889.089089089089          375.55413117730495
890.1901901901902         375.55413117730495
891.2912912912913         375.55413117730495
892.3923923923924         375.55413117730495
893.4934934934935         375.55413117730495
894.5945945945946         375.55413117730495
895.6956956956957         375.55413117730495
896.7967967967968         375.55413117730495
897.8978978978979         375.55413117730495
898.998998998999          375.55413117730495
